RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,16,37.5,62.5,56.2,43.8,43.8,62.5,62.5
RSI(7),20/80,SELL,28,53.6,60.7,57.1,60.7,32.1,37.0,40.7
RSI(7),30/70,BUY,51,49.0,52.9,68.6,63.3,62.5,66.7,59.1
RSI(7),30/70,SELL,52,30.8,32.7,28.8,34.6,28.8,25.5,30.0
RSI(7),10/90,BUY,1,,,,,,,
RSI(7),10/90,SELL,2,,,,,,,
RSI(14),20/80,SELL,1,,,,,,,
RSI(14),30/70,BUY,14,50.0,85.7,57.1,35.7,64.3,64.3,71.4
RSI(14),30/70,SELL,27,51.9,44.4,55.6,48.1,37.0,29.6,42.3
RSI(20),20/80,SELL,1,,,,,,,
RSI(20),30/70,BUY,2,,,,,,,
RSI(20),30/70,SELL,10,60.0,50.0,50.0,60.0,30.0,50.0,50.0
RSI(30),30/70,SELL,2,,,,,,,
RSI(45),30/70,SELL,2,,,,,,,
