RSI,Banda,Señal,N,1d,3d,5d,10d,30d,60d,90d
RSI(7),20/80,BUY,6,0.02,1.33,0.49,0.15,3.12,8.11,11.83
RSI(7),20/80,SELL,25,-0.09,-0.43,-0.4,-0.57,-2.38,-2.48,-5.25
RSI(7),30/70,BUY,51,0.14,0.36,0.67,1.24,2.79,4.47,6.07
RSI(7),30/70,SELL,65,-0.14,-0.23,-0.65,-0.92,-0.86,-1.74,-3.94
RSI(7),10/90,SELL,1,,,,,,,
RSI(14),20/80,SELL,2,,,,,,,
RSI(14),30/70,BUY,10,0.57,2.2,1.93,2.87,6.64,10.18,14.78
RSI(14),30/70,SELL,33,-0.26,-0.44,-0.42,-0.88,-1.4,-2.94,-4.96
RSI(20),30/70,BUY,1,,,,,,,
RSI(20),30/70,SELL,20,-0.01,0.22,0.33,-0.46,-2.27,-2.56,-5.39
RSI(30),30/70,BUY,1,,,,,,,
RSI(30),30/70,SELL,2,,,,,,,
